zipCode,zipCount
77030,1081
10065,660
02215,611
63110,508
19104,396
60637,366
02114,362
37203,358
90095,341
55905,337
80045,337
98109,328
30322,327
60611,313
43210,313
48201,301
46202,299
48109,297
33612,287
02115,282
91010,277
44195,267
44106,265
37232,264
27710,260
08035,257
78229,254
90033,254
92093,246
10032,242
53226,238
75390,238
80218,228
29605,227
96813,222
14263,222
60612,218
94305,216
73104,214
99508,213
97239,210
94115,208
07601,204
84112,203
21287,202
15232,199
19111,194
98405,192
20892,189
27599,189
67214,182
53792,172
19107,170
19713,169
40202,168
33136,168
49503,168
92868,165
27157,165
20007,158
55455,156
21201,156
52242,154
06520,154
10029,152
14642,152
10016,151
97213,150
29425,150
94143,147
98104,147
75246,146
48202,143
03756,140
10021,134
76104,132
62526,131
48106,130
49007,127
80131,127
10461,126
94805,126
90048,125
61615,125
50309,124
63141,123
45242,121
28041,121
59101,120
96817,119
89128,119
89169,118
21231,118
17033,117
28050,117
95817,117
32806,116
28040,116
10467,115
94304,113
08036,113
62702,112
28204,112
20133,109
61801,109
85259,107
58122,107
70112,106
31059,106
48236,106
28034,106
30342,105
65804,104
55416,103
90027,102
54301,102
23298,101
66205,101
20010,100
40138,100
15213,99
48503,99
41013,99
35294,98
11042,98
48341,98
89148,98
67208,97
22031,96
68198,96
03080,96
35233,95
32224,95
69120,94
20141,94
13210,94
55805,94
43015,93
48093,92
50314,92
05505,92
90404,92
11725,92
32610,92
68114,92
27534,92
68130,91
22908,91
39216,91
48073,91
60153,90
30912,90
89052,90
40536,90
85258,90
06510,88
55407,88
70809,88
70121,87
55109,87
66160,87
08903,86
43214,86
61354,85
75230,85
65401,85
69373,85
72205,85
10604,85
89106,84
59405,84
61350,83
61401,82
01307,81
92123,81
63703,80
38120,80
96701,79
26506,79
29615,79
98195,79
98122,78
95661,78
61554,78
29010,78
94589,77
72076,77
80907,77
69495,77
58501,77
45840,77
54449,77
46601,76
37404,76
65807,76
98101,75
03722,75
06351,75
95403,74
87102,74
97015,73
49085,73
79106,73
33140,73
80124,73
89081,72
64804,72
46010,72
68510,72
10126,72
45229,71
60201,71
59037,71
30625,71
29414,71
31008,71
54303,71
28007,71
46545,71
50325,71
62401,71
21204,70
80012,70
50010,70
11794,70
80220,70
74146,70
02903,69
16132,69
45219,69
44124,69
80228,69
38138,69
91505,68
80501,68
85719,67
89109,67
59901,67
45409,67
32207,67
94010,67
54143,66
08916,66
29601,66
43623,66
67401,66
50009,66
28046,66
33705,66
29303,65
75702,65
50266,65
48154,65
54476,65
33021,65
94609,65
17822,65
43215,65
83706,65
33916,64
28203,64
80138,64
31405,64
59802,64
43219,64
53188,63
38105,63
43055,63
98105,63
31404,63
44718,63
47014,63
20132,63
99336,62
15224,62
54701,62
48912,62
98310,61
54601,61
97225,61
33076,61
83642,61
35128,61
64108,61
89074,61
45415,61
55433,60
20089,60
32803,60
55101,60
61637,60
64111,60
45373,60
75235,59
55404,59
20246,59
45331,59
45005,59
57105,59
49201,58
07920,58
57104,58
51101,58
75231,58
98201,58
45147,58
19718,58
55102,57
82414,57
92037,57
83712,57
46237,56
02111,56
50937,56
80113,56
64132,56
46260,56
55435,56
08003,56
97227,56
37007,56
94040,56
95816,55
48060,55
46026,54
13353,54
20817,54
29672,54
85724,54
55432,54
55131,53
44805,53
94611,53
61530,53
98684,53
48601,53
54868,53
19958,53
87106,53
55125,52
61265,52
75475,52
81675,52
59715,52
99204,52
98902,51
81377,51
00168,51
60426,51
60590,51
45429,51
06105,51
43130,51
60714,51
62321,51
57117,51
53066,51
11000,50
92835,50
48162,50
27100,50
98370,50
02905,50
61520,50
72703,50
61455,50
23502,50
44111,49
84106,49
30607,49
97080,49
15212,49
93720,49
08103,49
83301,49
45267,49
64239,49
61761,49
01805,48
54401,48
53081,48
61356,48
99216,48
63131,48
08907,48
67156,47
61701,47
67152,47
67357,47
67114,47
59102,47
67068,47
90025,47
21215,47
04074,47
67301,47
67801,47
66720,47
62781,47
83686,47
92354,47
28546,47
54494,47
30060,47
06050,47
67042,46
89144,46
67124,46
45459,46
99218,46
44060,46
20162,46
66701,46
85054,46
08901,46
06102,46
08043,45
55415,45
98112,45
48124,45
07748,45
15006,45
66044,45
91120,45
20889,45
07962,45
12208,45
55422,45
68122,45
11040,44
44093,44
33308,44
97701,44
54481,44
68124,44
34232,44
49100,44
27103,44
27705,44
81301,44
30308,44
90603,44
96826,44
49102,44
59601,44
45406,43
48334,43
82801,43
46360,43
