countyCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
12101,4036.0,165851,1401.0,161.6,499.9,76713.0,608794.0,11.1,36.0,59.133302890632955
12103,7624.0,65148,2519.0,143.4,476.9,65933.0,961739.0,10.9,168.0,174.68356799505895
12105,4591.0,117299,1485.0,146.0,473.1,66427.0,787404.0,12.4,37.0,46.989855271245766
12107,559.0,120353,232.0,192.4,487.2,61941.0,74731.0,15.699999999999998,4.0,53.525310781335726
12109,1768.0,16484,493.0,132.8,488.8,46459.0,306841.0,22.5,165.0,537.7377860194694
12111,2201.0,17860,800.0,146.7,434.4,103757.0,358704.0,5.9,34.0,94.7856728667648
12113,1069.0,47534,335.0,152.7,481.3999999999999,64038.0,198268.0,13.4,1.0,5.043678253676841
12115,4300.0,18064,1393.0,132.8,475.5,82537.0,462286.0,9.4,79.0,170.88988202108652
12117,2557.0,38638,818.0,145.0,456.9,78309.0,478772.0,8.5,25.0,52.21692162448932
12119,1639.0,52808,513.0,129.9,444.8,80296.0,144970.0,11.1,18.0,124.16362005932262
12121,303.0,12830,129.0,186.7,460.1,77851.0,45411.0,9.4,4.0,88.08438484067737
12123,136.0,8054,56.0,174.9,450.5,51295.0,21283.0,18.9,0.0,0.0
12125,237.0,3831,77.0,414.5,1237.4,48482.0,15460.0,19.5,0.0,0.0
12127,4416.0,2070,1563.0,163.2,499.4,60749.0,579192.0,18.0,48.0,82.87407284631003
12129,192.0,66107,63.0,169.1,476.5,64601.0,35178.0,11.8,0.0,0.0
12131,388.0,3771,161.0,158.8,377.4,63482.0,83304.0,11.7,1.0,12.004225487371555
13101,19.0,2461,4.0,110.0,457.6,43417.0,3686.0,23.7,0.0,0.0
13103,327.0,774,102.0,172.6,515.9,47195.0,69041.0,21.1,5.0,72.42073550498979
13105,143.0,5859,55.0,182.9,523.6,88111.0,19814.0,8.6,0.0,0.0
13107,134.0,3171,55.0,197.5,490.9,49220.0,22929.0,16.2,1.0,43.61289197086659
13109,60.0,4490,23.0,177.2,458.1,46975.0,10695.0,20.8,0.0,0.0
13111,228.0,2186,79.0,163.3,476.3,45163.0,25737.0,21.6,3.0,116.56370206317752
13113,713.0,2932,187.0,124.20000000000002,463.80000000000007,60604.0,122030.0,11.400000000000002,5.0,40.97353109891011
13115,553.0,7155,220.0,177.8,457.0,109358.0,99443.0,5.9,11.0,110.61613185442917
13117,1157.0,14366,270.0,124.1,483.69999999999993,56651.0,267237.0,15.099999999999998,23.0,86.06592649969878
13119,155.0,10836,61.0,184.1,501.6,130909.0,24128.0,4.1,0.0,0.0
13121,4830.0,3731,1398.0,140.5,457.8,49940.0,1074634.0,16.0,265.0,246.59558510153224
13123,255.0,133088,80.0,152.5,498.6000000000001,89798.0,32407.0,12.699999999999998,1.0,30.857530780386956
13125,17.0,4480,8.0,196.1,462.4,68294.0,2939.0,14.0,0.0,0.0
13127,541.0,400,197.0,160.2,451.1000000000001,55539.0,85079.0,13.9,3.0,35.26134533786246
13129,321.0,11354,122.0,183.3,472.3999999999999,63532.0,58954.0,13.7,15.0,254.4356617023442
13131,141.0,6721,52.0,157.1,436.7,63946.0,26008.0,11.5,10.0,384.49707782220855
13133,159.0,5587,43.0,136.6,496.8,48548.0,20139.0,21.600000000000005,71.0,3525.497790357019
13135,3834.0,2716,1035.0,136.5,445.2,74488.0,975353.0,13.6,37.0,37.93498353929295
13137,305.0,86107,94.0,153.7,523.9,83918.0,47475.0,8.9,1.0,21.063717746182203
13139,1140.0,6213,329.0,142.4,493.1,62428.0,212692.0,13.8,45.0,211.57354296353412
13141,57.0,24679,21.0,157.8,413.4,76789.0,8387.0,11.7,0.0,0.0
13143,183.0,1912,64.0,174.5,502.7,38570.0,31337.0,26.5,4.0,127.6446373296742
13145,211.0,4682,65.0,140.1,444.4,57912.0,36276.0,15.1,28.0,771.8601830411291
13147,168.0,3235,61.0,150.5,436.6000000000001,90636.0,26909.0,9.0,0.0,0.0
13149,76.0,3711,26.0,166.7,499.3999999999999,56137.0,11725.0,14.2,1.0,85.28784648187633
13151,1135.0,1727,338.0,156.5,478.5,56724.0,248364.0,14.9,7.0,28.184438968610586
13153,779.0,19857,247.0,155.0,476.20000000000005,82379.0,169631.0,8.0,74.0,436.24101726689105
13155,52.0,17991,20.0,160.0,423.8,71237.0,9126.0,10.699999999999998,0.0,0.0
13157,395.0,1676,136.0,175.1,492.20000000000005,49224.0,83936.0,19.1,52.0,619.5196340068624
13159,102.0,6088,37.0,196.1,536.1,82138.0,15951.0,7.3,0.0,0.0
13161,72.0,2038,29.0,160.8,396.2,63718.0,14889.0,12.9,0.0,0.0
13163,105.0,2995,46.0,217.2,505.7,46143.0,15314.0,20.2,0.0,0.0
13165,43.0,3511,20.0,185.3,397.0,44459.0,8689.0,23.7,0.0,0.0
13167,56.0,2070,20.0,145.0,410.7,41830.0,9242.0,27.9,35.0,3787.0590781216188
13169,188.0,2033,56.0,144.8,507.19999999999993,42603.0,28472.0,27.300000000000004,8.0,280.97780275358247
13171,121.0,3243,40.0,172.9,513.2,65515.0,19467.0,11.5,1.0,51.36898340781836
13173,57.0,2442,18.0,151.2,477.1000000000001,61542.0,10171.0,13.0,0.0,0.0
13175,268.0,1878,113.0,181.0,447.8,50671.0,49660.0,19.2,36.0,724.929520741039
13177,179.0,10450,54.0,186.4,573.6,47918.0,33642.0,21.4,19.0,564.770227691576
13179,231.0,3360,75.0,164.1,462.3999999999999,84260.0,68030.0,10.3,1.0,14.699397324709688
13181,62.0,9160,23.0,171.9,469.3,59807.0,7841.0,14.4,0.0,0.0
13183,59.0,1201,20.0,128.0,358.7,69776.0,18348.0,15.399999999999999,1.0,54.50185306300414
13185,518.0,2550,158.0,141.0,462.29999999999995,71285.0,119739.0,14.2,13.0,108.56947193479151
13187,206.0,17678,64.0,152.1,494.5,52623.0,34796.0,15.399999999999999,1.0,28.738935509828718
13189,156.0,3740,53.0,188.5,566.3,71486.0,21713.0,12.1,0.0,0.0
13191,93.0,3798,33.0,129.4,374.3,50593.0,11180.0,17.7,1.0,89.44543828264759
13193,73.0,1893,29.0,165.8,426.4,51411.0,11765.0,17.0,3.0,254.99362515937102
13195,195.0,2365,68.0,177.7,503.30000000000007,40089.0,31473.0,23.800000000000004,0.0,0.0
13197,48.0,3809,21.0,159.4,374.9,58789.0,7449.0,12.2,0.0,0.0
13199,142.0,1423,53.0,170.4,465.0,47174.0,20845.0,19.4,2.0,95.9462700887503
13201,38.0,3435,14.0,168.0,462.2,53019.0,5807.0,16.6,0.0,0.0
13205,137.0,1292,51.0,174.2,490.30000000000007,45201.0,21116.0,22.9,0.0,0.0
13207,177.0,4470,58.0,150.9,466.30000000000007,45296.0,29427.0,22.699999999999996,1.0,33.982397118292724
13209,46.0,3208,21.0,190.3,398.6,76428.0,8655.0,11.4,0.0,0.0
13211,131.0,1602,45.0,167.40000000000003,494.6,48356.0,21031.0,20.199999999999996,71.0,3375.9688079501684
13213,224.0,2337,89.0,193.40000000000003,480.9,74340.0,40472.0,11.2,0.0,0.0
13215,1043.0,5332,375.0,180.2,495.1,62109.0,202616.0,13.3,27.0,133.25699846014138
13217,596.0,35163,204.0,181.8,507.8,53740.0,117621.0,17.8,2.0,17.003766334243036
13219,198.0,14313,53.0,116.9,429.1,72128.0,43588.0,12.3,3.0,68.82628246306322
