zipCode,countyCode,countyName,STATE_NAME,PovertyEst,povertyPercent,medIncome,popEst2020,incidentRate,AverageAnnualCount,recTrend_incd_x,recTrend_mort_y,Recent5YearTrend
35616,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38827,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38326,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38846,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38873,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38829,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38833,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38834,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38838,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38843,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38847,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38852,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38859,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
35582,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
35677,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
38357,28141,Tishomingo County,Mississippi,3335,16.0,52635.0,18619.0,538.5,148.0,stable,falling,3.5
33514,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
33513,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
34473,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
33538,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
34453,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
34601,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
34602,12119,Sumter County,Florida,52808,11.1,80296.0,144970.0,444.8,1639.0,falling,falling,-0.8
