Death Rate Report for United States by County,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites, 2016-2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
County, FIPS,Met Healthy People Objective of 122.7?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Lower CI (Rate),Upper CI (Rate),CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
United States,00000,No,149.4,149.3,149.6,N/A , N/A , N/A,599666,falling,-2,-2.2,-1.8
"Union County, Florida",12125,No,414.5,372.8,459.9,N/A ,1,1,77,stable,-0.1,-0.9,0.7
"Galax City, Virginia",51640,No,363.1,307.7,426.4,N/A ,1,3,33,falling,-17,-30.7,-0.6
"Kingman County, Kansas",20095,No,353.6,301.6,412.9,N/A ,1,3,38,rising,17.7,4.3,32.9
"Hanson County, South Dakota",46061,No,302.1,213.4,413.3,N/A ,1,24,9,rising,1.9,0.3,3.5
"Loup County, Nebraska",31115,No,294,158.3,528.3,N/A ,1,80,3,*,*,*,*
"Camas County, Idaho",16025,No,283.5,162.7,465.9,N/A ,1,38,4,*,*,*,*
"East Carroll Parish, Louisiana",22035,No,277.7,227.6,336,N/A ,1,11,22,stable,0,-0.8,0.9
"Martinsville City, Virginia",51690,No,273.9,239.8,311.9,N/A ,1,10,48,rising,3.5,0.8,6.3
"Perry County, Kentucky",21193,No,267.4,242.8,293.9,N/A ,1,19,92,stable,0,-0.6,0.5
"Covington City, Virginia",51580,No,267.3,217.7,325.9,N/A ,1,47,22,stable,-16.5,-32.9,3.8
"Mellette County, South Dakota",46095,No,265.8,177.8,383.4,N/A ,1,51,6,stable,0.6,-1,2.2
"Petersburg City, Virginia",51730,No,262.5,239.3,287.4,N/A ,1,9,103,falling,-0.9,-1.4,-0.4
"Todd County, South Dakota",46121,No,258.3,201.7,324.6,N/A ,1,22,16,stable,-0.4,-1.5,0.7
"Baylor County, Texas",48023,No,254.2,199.4,322.6,N/A ,1,135,16,stable,-0.3,-1.5,0.8
"Leslie County, Kentucky",21131,No,251.8,214.9,293.9,N/A ,1,65,35,stable,0.3,-0.4,1
"Cheyenne County, Colorado",08017,No,251.7,172.5,360.1,N/A ,1,37,7,stable,18.7,-3.1,45.3
"Clay County, Kentucky",21051,No,250.6,222.3,281.7,N/A ,1,44,60,stable,0.5,-0.2,1.1
"Monroe County, Arkansas",05095,No,249.1,207.6,297.8,N/A ,1,31,28,stable,-0.5,-1.3,0.3
"Okfuskee County, Oklahoma",40107,No,247.6,213.9,285.5,N/A ,1,28,40,stable,0.4,-0.2,1
"Nome Census Area, Alaska",02180,No,246.1,187.3,315.8,N/A ,1,8,15,stable,0.4,-1,1.8
"Adams County, Ohio",39001,No,245.8,223.3,270.2,N/A ,1,5,92,stable,-0.3,-0.9,0.3
"Wolfe County, Kentucky",21237,No,243.9,200.8,294.2,N/A ,1,98,24,stable,-0.6,-1.7,0.6
"Thurston County, Nebraska",31173,No,242.1,191,302.5,N/A ,1,29,16,stable,0.5,-0.7,1.7
"Overton County, Tennessee",47133,No,241.8,217.7,268.1,N/A ,1,23,78,stable,-0.1,-0.6,0.5
"Floyd County, Kentucky",21071,No,240.4,220.6,261.7,N/A ,1,42,116,falling,-0.5,-0.9,-0.1
"Prairie County, Montana",30079,No,240.2,146,388,N/A ,1,47,5,*,*,*,*
"Sunflower County, Mississippi",28133,No,239.8,214.4,267.5,N/A ,1,30,67,stable,-0.1,-0.5,0.3
"Bolivar County, Mississippi",28011,No,239.5,217,263.7,N/A ,1,22,88,stable,-0.4,-0.8,0.1
"Whitley County, Kentucky",21235,No,239.4,218.9,261.2,N/A ,1,46,105,stable,-0.2,-0.8,0.4
"Butler County, Kentucky",21031,No,238.7,206.6,274.8,N/A ,1,75,41,stable,-0.6,-1.3,0
"Franklin City, Virginia",51620,No,237.8,198.5,283.4,N/A ,2,51,28,falling,-0.9,-1.6,-0.2
"Harlan County, Kentucky",21095,No,237.6,214.9,262.2,N/A ,1,49,86,stable,0.2,-0.4,0.8
"Pemiscot County, Missouri",29155,No,237,208.1,269.1,N/A ,1,33,51,stable,-0.1,-0.6,0.4
"Powell County, Kentucky",21197,No,236.9,202.4,275.9,N/A ,1,82,36,stable,-0.6,-1.3,0.1
"Polk County, Texas",48373,No,236.3,218.2,255.6,N/A ,1,18,148,stable,-0.2,-0.7,0.4
"Johnson County, Kentucky",21115,No,236.1,211.3,263.1,N/A ,1,65,70,stable,-0.3,-0.8,0.3
"Calhoun County, Arkansas",05013,No,235.8,189.5,291.9,N/A ,1,58,19,stable,-0.3,-1.2,0.7
"Quitman County, Mississippi",28119,No,235.4,192.8,285.4,N/A ,1,60,22,stable,-0.8,-1.6,0
"Alpine County, California",06003,No,235.3,137.9,389.3,N/A ,1,57,4,*,*,*,*
"Madison County, Mississippi",28089,No,235.3,222,249.2,N/A ,1,15,249,falling,-2.8,-4.3,-1.3
"Edwards County, Kansas",20047,No,235.2,169.3,320.9,N/A ,1,93,10,stable,1.2,-0.3,2.7
"Sharkey County, Mississippi",28125,No,235.1,179.5,303.6,N/A ,1,75,14,falling,-1.6,-2.6,-0.6
