Incidence Rate Report for United States by County,,,,,,,,,,,,
,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2016-2020",,,,,,,,,,,,
,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,
,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,
,,,,,,,,,,,,
County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),00000,442.3,442,442.6,N/A , N/A , N/A,1698328,stable,-0.3,-0.6,0.1
"Union County, Florida(6)",12125,1237.4,1165.6,1312.8,N/A ,1,1,237,stable,0.6,-0.5,1.9
"Palo Alto County, Iowa(7)",19147,658.1,591.1,731.1,N/A ,1,6,82,rising,4.8,0.2,15.4
"Treasure County, Montana(6)",30103,652.2,401,1007.4,N/A ,1,55,7,stable,-1.1,-5.6,3.3
"Polk County, Texas(7)",48373,633.6,604.6,663.7,N/A ,1,4,425,rising,2.2,1.2,4.2
"Floyd County, Kentucky(7)",21071,616.8,584.3,650.7,N/A ,1,19,295,stable,1.5,-1.8,5.3
"Logan County, Nebraska(6)",31113,609.8,406,888.8,N/A ,1,84,7,*,*,*,*
"Lawrence County, Arkansas(6)",05075,599.8,553.6,649,N/A ,1,10,136,rising,4.6,1.6,12.1
"Powell County, Kentucky(7)",21197,597.4,541,658.3,N/A ,1,73,88,stable,0.8,-0.3,1.9
"Blaine County, Nebraska(6)",31009,595.9,349.1,972,N/A ,1,87,4,stable,3.2,-1.1,8.9
"Golden Valley County, Montana(6)",30037,589.6,416.1,829.2,N/A ,1,52,9,stable,0.1,-3.3,3.7
"Lincoln County, Kentucky(7)",21137,584.7,546.7,624.8,N/A ,1,51,189,rising,0.7,0.3,1.1
"Logan County, West Virginia(6)",54045,583.8,551.2,617.9,N/A ,1,7,268,stable,0.6,-0.3,1.5
"Lowndes County, Alabama(6)",01085,583.5,524.1,648.3,N/A ,1,10,79,stable,1.7,0,3.5
"Mercer County, Kentucky(7)",21167,581.5,542,623.3,N/A ,1,56,175,stable,0.8,-0.2,1.9
"Perry County, Kentucky(7)",21193,578.1,541.1,617.2,N/A ,1,53,196,stable,0.5,-0.4,1.5
"Fleming County, Kentucky(7)",21069,576,527.2,628.3,N/A ,1,77,110,stable,0.4,-0.8,1.7
"Grant County, Kentucky(7)",21081,575.7,535.7,618.1,N/A ,1,62,162,rising,0.7,0.1,1.4
"Pickens County, Georgia(7)",13227,575.3,543.4,608.8,N/A ,1,17,277,rising,1.1,0.3,2.1
"Adams County, Wisconsin(6)",55001,575.1,536.9,615.9,N/A ,1,7,219,stable,0,-0.8,0.9
"Owsley County, Kentucky(7)",21189,574.9,490,671.5,N/A ,1,116,36,stable,0.2,-2,2.6
"Bath County, Kentucky(7)",21011,574.8,521.2,632.6,N/A ,1,84,90,stable,-0.4,-5.3,0.6
"Lee County, Kentucky(7)",21129,574.7,506.2,650.6,N/A ,1,109,56,stable,0.1,-1.7,1.9
"Lee County, Georgia(7)",13177,573.6,535.2,614,N/A ,1,29,179,rising,1.3,0.3,2.6
"Monroe County, Kentucky(7)",21171,572.4,515.9,633.8,N/A ,1,98,82,rising,2.4,1.1,3.7
"Yukon-Koyukuk Census Area, Alaska(6)",02290,569,481.1,668.5,N/A ,1,7,34,stable,1,-2,4.5
"Livingston County, Kentucky(7)",21139,568.9,510.4,633,N/A ,1,96,79,stable,0.4,-0.8,1.6
"Scott County, Illinois(7)",17171,568.6,488.7,658.9,N/A ,1,91,40,stable,1.3,-0.1,2.8
"Taylor County, Kentucky(7)",21217,568.1,530.4,607.9,N/A ,1,67,184,stable,-3.5,-8.8,1.4
"Cass County, Iowa(7)",19029,567.8,518.4,621,N/A ,1,52,113,rising,0.9,0.1,1.7
"Menard County, Illinois(7)",17129,567.2,516.1,622.4,N/A ,1,52,99,stable,0.3,-0.5,1.2
"Clay County, Kentucky(7)",21051,566.4,523.8,611.6,N/A ,1,79,138,stable,-1,-4.6,0.3
"McDuffie County, Georgia(7)",13189,566.3,525.6,609.6,N/A ,1,41,156,stable,1,-0.1,2.1
"Pleasants County, West Virginia(6)",54073,566.2,501.3,638.1,N/A ,1,36,58,stable,0.3,-1.2,2
"Knox County, Kentucky(7)",21121,566.2,532.6,601.5,N/A ,1,67,224,stable,0.5,-0.4,1.3
"Lawrence County, Kentucky(7)",21127,565.7,518.8,615.9,N/A ,1,84,116,stable,0.8,0,1.6
"Marion County, Illinois(7)",17121,565.4,535.4,596.8,N/A ,1,25,290,stable,0.2,-0.4,0.8
"Hitchcock County, Nebraska(6)",31087,563.9,457.2,690.4,N/A ,1,65,24,stable,0.6,-1.8,2.9
"Jefferson County, New York(7)",36045,562.7,543.2,582.7,N/A ,1,8,658,stable,2,-0.8,5
"Trousdale County, Tennessee(6)",47169,561.5,499.9,628.7,N/A ,1,53,64,rising,1.4,0.2,2.8
"Bryan County, Georgia(7)",13029,561,525.9,597.8,N/A ,1,37,199,stable,0.8,0,1.7
"Iberville Parish, Louisiana(7)",22047,560.3,527.4,594.8,N/A ,1,13,227,stable,3.3,-0.2,6
"Stonewall County, Texas(7)",48433,560.2,412.3,749.4,N/A ,1,241,11,stable,1.7,-1.6,5.3
"Lewis County, West Virginia(6)",54041,560.2,516.2,607.3,N/A ,1,23,129,stable,0.4,-1.3,2.1
"Harlan County, Kentucky(7)",21095,559.5,523.7,597.2,N/A ,1,72,200,stable,0.7,-0.2,1.6
"Aurora County, South Dakota(6)",46003,559.4,454.8,682.8,N/A ,1,52,23,stable,1.9,-0.3,4.3
"Cape May County, New Jersey(7)",34009,559,541,577.4,N/A ,1,2,900,stable,-0.4,-4.2,0.8
"McCook County, South Dakota(6)",46087,558.8,482.1,645,N/A ,1,38,41,stable,0.9,-0.5,2.3
"Greeley County, Nebraska(6)",31077,557.8,440.4,699.2,N/A ,1,74,20,stable,0.4,-2.6,3.4
"Adair County, Kentucky(7)",21001,557.4,515.5,602.1,N/A ,1,83,143,stable,0.5,-0.3,1.5
"Montgomery County, Missouri(6)",29139,557.1,504.1,614.7,N/A ,1,35,90,stable,0.5,-0.8,1.8
"Butler County, Kentucky(7)",21031,557.1,505.7,612.6,N/A ,1,100,93,stable,0.5,-0.7,1.8
"Morgan County, Illinois(7)",17137,556.7,526,588.8,N/A ,1,34,266,rising,0.8,0.2,1.5
"Nassau County, Florida(6)",12089,555.9,536.8,575.5,N/A ,2,4,725,stable,0.4,-0.4,1.4
"Burnett County, Wisconsin(6)",55013,555.6,513.2,601.2,N/A ,1,21,161,stable,1,-0.4,2.4
"Christian County, Illinois(7)",17021,555.4,524.5,587.9,N/A ,1,34,260,stable,0,-0.5,0.4
"Bracken County, Kentucky(7)",21023,555.3,492.2,624.8,N/A ,1,109,60,stable,0.7,-1,2.5
"Clay County, South Dakota(6)",46027,554.9,495,620,N/A ,1,32,67,rising,4.1,2,10.3
"Montgomery County, Iowa(7)",19137,554.8,498.6,616,N/A ,1,75,82,rising,0.8,0.2,1.4
"Woodruff County, Arkansas(6)",05147,554.5,484.2,633,N/A ,1,56,53,stable,1.5,-0.6,3.8
"Cherokee County, Iowa(7)",19035,554.3,502,611.2,N/A ,1,65,98,rising,12.1,0.9,19.3
"Logan County, Illinois(7)",17107,554.1,520.3,589.6,N/A ,1,38,212,stable,0.6,-0.1,1.3
"Terrell County, Georgia(7)",13273,554,493.6,620.4,N/A ,1,107,67,stable,-0.8,-2.1,0.5
"Potter County, South Dakota(6)",46107,554,429.3,705.9,N/A ,1,58,20,stable,1.7,-1.8,5.1
"Lawrence County, Ohio(6)",39087,553.5,530.1,577.8,N/A ,1,7,449,stable,0.3,-0.8,1.5
"Poinsett County, Arkansas(6)",05111,553.2,515.8,592.8,N/A ,1,25,172,stable,1,0,2.1
"Niagara County, New York(7)",36063,552.7,540.2,565.4,N/A ,1,9,1628,rising,1,0.1,2.8
"Greene County, Iowa(7)",19073,551.6,493.6,615.2,N/A ,1,75,75,rising,1.2,0.2,2.2
"Cumberland County, Kentucky(7)",21057,550.9,482.4,627.2,N/A ,1,114,54,stable,0.6,-1.4,2.6
"Montour County, Pennsylvania(6)",42093,550.5,508.7,595.2,N/A ,1,19,145,stable,0.7,-0.3,1.7
"Russell County, Kentucky(7)",21207,550.4,508,595.8,N/A ,1,91,137,stable,0.5,-0.6,1.7
"Johnson County, Kentucky(7)",21115,549.9,511.9,590.2,N/A ,2,85,167,stable,0.6,-0.1,1.4
"Musselshell County, Montana(6)",30065,549.7,469.8,641.1,N/A ,1,35,44,rising,8.2,4,15.7
"Piscataquis County, Maine(6)",23021,549.5,508.2,593.7,N/A ,1,5,162,stable,2.2,-2.1,8.1
"Clay County, Illinois(7)",17025,548.6,500.8,600.3,N/A ,1,69,106,stable,0.6,-0.5,1.7
"Orleans County, New York(7)",36073,548.4,519.9,578.1,N/A ,1,29,300,stable,0.6,-0.2,1.4
"Turner County, Georgia(7)",13287,548.2,484.3,618.6,N/A ,1,115,57,stable,0.7,-1.1,2.6
"Haakon County, South Dakota(6)",46055,548.2,424.9,700.3,N/A ,1,59,17,rising,17,9.5,22.6
"East Carroll Parish, Louisiana(7)",22035,547.9,476.6,627.3,N/A ,1,59,44,stable,1,-0.4,2.4
"Pike County, Kentucky(7)",21195,547.3,523.7,571.8,N/A ,5,65,440,stable,0.3,-0.2,0.8
"Cerro Gordo County, Iowa(7)",19033,547.2,520.1,575.5,N/A ,2,35,349,rising,0.7,0.3,1.1
"Jefferson County, Arkansas(6)",05069,547.2,524.7,570.4,N/A ,1,15,482,rising,1,0.4,1.6
"McLean County, Kentucky(7)",21149,546.6,489,609.7,N/A ,1,109,71,stable,0.6,-0.3,1.5
"Macon County, Illinois(7)",17115,546,528.5,564.1,N/A ,1,27,802,stable,-0.1,-0.5,0.2
"Crenshaw County, Alabama(6)",01041,545.8,497.2,598.1,N/A ,1,17,102,rising,3.9,1.4,9.7
"Mississippi County, Missouri(6)",29133,545.7,497.3,597.8,N/A ,1,36,97,stable,0.4,-0.9,1.9
"Prairie County, Montana(6)",30079,545.6,375.2,773.4,N/A ,1,55,9,stable,-0.2,-3.3,2.8
"Breathitt County, Kentucky(7)",21025,545.3,494.6,600.1,N/A ,1,105,92,stable,1.1,-0.5,2.8
"Grundy County, Illinois(7)",17063,545.1,517.8,573.5,N/A ,1,38,310,stable,0.1,-0.6,0.7
"St. Landry Parish, Louisiana(7)",22097,544.8,523.7,566.5,N/A ,1,11,542,rising,0.7,0.2,1.3
"Whitley County, Kentucky(7)",21235,544.1,512.5,577.2,N/A ,4,80,234,stable,0.5,-0.1,1.2
"Owen County, Kentucky(7)",21187,543.9,489.5,603.1,N/A ,1,110,80,stable,0.6,-0.6,1.9
"Buffalo County, South Dakota(6)",46017,543.9,388.6,739,N/A ,1,63,9,stable,1,-2.6,5.3
"Rosebud County, Montana(6)",30087,543.4,479.6,613.6,N/A ,1,31,58,stable,0.7,-0.6,2.1
"Pike County, Illinois(7)",17149,543.4,499.1,591,N/A ,1,63,122,stable,1.7,-0.2,6.3
"Marion County, Kentucky(7)",21155,543.2,500.7,588.5,N/A ,2,98,129,stable,0.9,-0.1,2.1
"Franklin County, Iowa(7)",19069,542.8,488.2,602.4,N/A ,1,79,82,rising,0.9,0.4,1.5
"Estill County, Kentucky(7)",21065,542.3,495.2,593,N/A ,1,105,106,stable,0.5,-0.7,1.6
"Searcy County, Arkansas(6)",05129,541.9,481.8,608.4,N/A ,1,52,70,rising,1.6,0.4,3
"Foard County, Texas(7)",48155,541.5,367.5,771.7,N/A ,1,247,9,rising,4.2,0.3,8.3
"Pocahontas County, Iowa(7)",19151,541.5,475.5,615.1,N/A ,1,92,58,stable,0.1,-0.6,0.6
"Onslow County, North Carolina(6)",37133,540.4,523.5,557.7,N/A ,1,8,813,stable,0.5,-0.1,1.2
"Oswego County, New York(7)",36075,540.3,523.1,558,N/A ,1,22,805,stable,-0.2,-0.6,0.2
"Houston County, Tennessee(6)",47083,540.2,480,606.5,N/A ,1,75,64,rising,2.2,0.7,3.8
"Sangamon County, Illinois(7)",17167,539.8,526.7,553.2,N/A ,3,25,1385,stable,0.2,-0.3,0.7
"Hernando County, Florida(6)",12053,539.6,527.3,552.2,N/A ,2,5,1766,falling,-1.6,-3.1,-0.7
"Grenada County, Mississippi(6)",28043,539.2,499.4,581.4,N/A ,1,38,146,stable,0.6,-0.5,1.7
"Harrison County, Kentucky(7)",21097,539.1,497.6,583.4,N/A ,2,97,135,stable,0.2,-0.5,0.9
"Desha County, Arkansas(6)",05041,539,485.9,596.6,N/A ,1,46,83,rising,12,0.4,23
"Sharp County, Arkansas(6)",05135,538.9,497.4,583.3,N/A ,1,37,151,stable,1,-0.4,2.5
